002907099999	5	31	671.0
002950099999	2	22	781.0
002950099999	2	28	221.0
002950099999	6	5	1111.0
002950099999	6	15	1561.0
002950099999	6	17	1891.0
002950099999	7	4	1561.0
002950099999	7	18	1611.0
002950099999	8	4	1721.0
002950099999	8	14	1441.0
002950099999	9	11	1061.0
002950099999	9	25	1221.0
002950099999	10	1	781.0
002950099999	10	17	281.0
002960099999	4	26	61.0
002960099999	7	24	2061.0
002960099999	8	2	1171.0
002960099999	8	17	1501.0
002960099999	9	29	1061.0
002960099999	9	30	331.0
002960099999	10	1	281.0
002960099999	10	2	501.0
002960099999	10	3	611.0
002960099999	10	18	671.0
002972099999	3	21	1.0
002972099999	6	13	1281.0
002972099999	7	19	2171.0
002972099999	9	6	781.0
002972099999	9	12	1111.0
002981099999	1	10	221.0
502907099999	1	1	1171.0
502907099999	1	2	1611.0
502907099999	1	3	1721.0
502907099999	1	4	1061.0
502907099999	1	5	941.0
502907099999	1	7	1441.0
502907099999	1	8	331.0
502907099999	1	10	671.0
502907099999	1	15	806.0
502907099999	1	16	111.0
502907099999	1	19	751.0
502907099999	1	20	1001.0
502907099999	1	22	696.0
502907099999	1	25	111.0
502907099999	1	26	111.0
502907099999	1	29	281.0
502907099999	2	3	781.0
502907099999	2	4	611.0
502907099999	2	5	281.0
502907099999	2	7	1281.0
502907099999	2	8	1721.0
502907099999	2	9	1111.0
502907099999	2	12	831.0
502907099999	2	16	1331.0
502907099999	2	19	831.0
502907099999	2	21	891.0
502907099999	2	22	921.0
502907099999	2	23	671.0
502907099999	2	24	1721.0
502907099999	2	28	441.0
502907099999	3	1	501.0
502907099999	3	5	501.0
502907099999	3	7	1001.0
502907099999	3	8	1891.0
502907099999	3	9	111.0
502907099999	3	11	171.0
502907099999	3	17	331.0
502907099999	3	19	1061.0
502907099999	3	21	2331.0
502907099999	3	22	1781.0
502907099999	3	23	1001.0
502907099999	3	24	891.0
502907099999	3	25	281.0
502907099999	3	26	941.0
502907099999	3	27	391.0
502907099999	3	30	441.0
502907099999	4	1	331.0
502907099999	4	2	501.0
502907099999	4	3	781.0
502907099999	4	4	171.0
502907099999	4	9	1.0
502907099999	4	17	1.0
502907099999	4	26	171.0
502907099999	5	15	391.0
502907099999	5	16	171.0
502907099999	5	17	141.0
502907099999	5	20	111.0
502907099999	5	24	331.0
502907099999	5	26	221.0
502907099999	5	28	441.0
502907099999	5	31	281.0
502907099999	6	1	561.0
502907099999	6	3	441.0
502907099999	6	4	471.0
502907099999	6	9	611.0
502907099999	6	10	331.0
502907099999	6	13	941.0
502907099999	6	15	671.0
502907099999	6	17	441.0
502907099999	6	19	1111.0
502907099999	6	27	1331.0
502907099999	6	28	1001.0
502907099999	7	5	941.0
502907099999	7	8	941.0
502907099999	7	9	1331.0
502907099999	7	12	941.0
502907099999	7	14	1306.0
502907099999	7	16	1361.0
502907099999	7	19	1171.0
502907099999	7	20	1221.0
502907099999	7	23	2391.0
502907099999	7	24	1721.0
502907099999	7	31	1361.0
502907099999	8	5	1446.0
502907099999	8	9	1561.0
502907099999	8	10	1221.0
502907099999	8	11	1111.0
502907099999	8	15	1061.0
502907099999	8	16	1586.0
502907099999	8	17	1531.0
502907099999	8	18	1831.0
502907099999	8	20	1111.0
502907099999	8	22	941.0
502907099999	8	25	1001.0
502907099999	8	28	1561.0
502907099999	9	1	781.0
502907099999	9	2	721.0
502907099999	9	4	1171.0
502907099999	9	8	1061.0
502907099999	9	13	781.0
502907099999	9	15	721.0
502907099999	9	16	891.0
502907099999	9	17	976.0
502907099999	9	18	1061.0
